Season,Episodes,First aired,Last aired,Network
Pilots,2,"February 20, 1968 (1968-02-20)","March 1, 1971 (1971-03-01)",NBC
1,7,"September 15, 1971 (1971-09-15)","February 9, 1972 (1972-02-09)",NBC
2,8,"September 17, 1972 (1972-09-17)","March 25, 1973 (1973-03-25)",NBC
3,8,"September 23, 1973 (1973-09-23)","May 5, 1974 (1974-05-05)",NBC
4,6,"September 15, 1974 (1974-09-15)","April 27, 1975 (1975-04-27)",NBC
5,6,"September 14, 1975 (1975-09-14)","May 2, 1976 (1976-05-02)",NBC
6,3,"October 10, 1976 (1976-10-10)","May 22, 1977 (1977-05-22)",NBC
7,5,"November 21, 1977 (1977-11-21)","May 13, 1978 (1978-05-13)",NBC
8,4,"February 6, 1989 (1989-02-06)","May 1, 1989 (1989-05-01)",ABC
9,6,"November 25, 1989 (1989-11-25)","May 14, 1990 (1990-05-14)",ABC
10 + Specials,14,"December 9, 1990 (1990-12-09)","January 30, 2003 (2003-01-30)",ABC
